us_city,state_name,county_name,us_city_lat,us_city_long,intl_city,country,flag_emoji,city_lat,city_long,continent
Santa Cruz,Arizona,Pima,32.0345181,-111.90707,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz,New Mexico,Santa Fe,35.9922457,-106.0472452,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz,Texas,Starr,26.3545111,-98.7683593,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz,Texas,Duval,27.4033702,-98.2683404,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz,Puerto Rico,Ponce,17.9816335,-66.5954501,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz,California,Santa Cruz,36.9741171,-122.0307963,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz,Puerto Rico,Bayamón,18.3960597,-66.1465556,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz Number 2 Colonia,Texas,Starr,26.3633996,-98.7714149,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
North Santa Cruz Colonia,Texas,Starr,26.366455,-98.7714149,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz Estates Colonia,Texas,Hidalgo,26.3422918,-98.1191749,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Santa Cruz Orange Gardens Colonia,Texas,Hidalgo,26.3664577,-98.1483427,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
North Santa Cruz Colonia,Texas,Hidalgo,26.3892348,-98.1363978,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
Salvador,California,Napa,38.3407465,-122.3208088,Salvador,Brazil,🇧🇷,-12.9822499,-38.4812772,Americas
Brasilia,Puerto Rico,Vega Baja,18.4449464,-66.381281,Brasilia,Brazil,🇧🇷,-10.3333333,-53.2,Americas
San Salvador,Puerto Rico,Manatí,18.4307804,-66.486838,Salvador,Brazil,🇧🇷,-12.9822499,-38.4812772,Americas
Sofia,New Mexico,Union,36.4516942,-103.8291315,Sofia,Bulgaria,🇧🇬,42.6977028,23.3217359,Europe
Montreal,Arkansas,Sebastian,35.1175962,-94.3485478,Montreal,Canada,🇨🇦,45.5031824,-73.5698065,Americas
Montreal,Georgia,DeKalb,33.8242707,-84.2365878,Montreal,Canada,🇨🇦,45.5031824,-73.5698065,Americas
Toronto,Illinois,Sangamon,39.7139399,-89.6298197,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Toronto,Indiana,Vermillion,39.7817032,-87.4955747,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Toronto,Iowa,Clinton,41.9050213,-90.8640346,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Toronto,Kansas,Woodson,37.7989253,-95.9491562,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Montreal,Missouri,Camden,37.9689254,-92.5921247,Montreal,Canada,🇨🇦,45.5031824,-73.5698065,Americas
Toronto,Missouri,Camden,38.0036476,-92.5254576,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Toronto,Ohio,Jefferson,40.4642335,-80.6009058,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Toronto,South Dakota,Deuel,44.5730202,-96.6425537,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Toronto,Texas,Brewster,30.3401601,-103.7507312,Toronto,Canada,🇨🇦,43.6534817,-79.3839347,Americas
Vancouver Junction,Washington,Clark,45.6773386,-122.6920427,Vancouver,Canada,🇨🇦,49.2608724,-123.113952,Americas
Vancouver,Washington,Clark,45.6387281,-122.6614861,Vancouver,Canada,🇨🇦,49.2608724,-123.113952,Americas
Montreal,Wisconsin,Iron,46.4280033,-90.2460097,Montreal,Canada,🇨🇦,45.5031824,-73.5698065,Americas
Montreal Acres,Maryland,Harford,39.52872,-76.2238441,Montreal,Canada,🇨🇦,45.5031824,-73.5698065,Americas
Santiago,Arizona,Maricopa,33.6208746,-111.9743135,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Iowa,Polk,41.7099884,-93.3749316,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Minnesota,Sherburne,45.5391335,-93.8199742,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Missouri,Benton,38.426965,-93.4568747,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Pennsylvania,Allegheny,40.4342351,-80.270616,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,West Virginia,Taylor,39.3698103,-80.2014723,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Hacienda Santiago,Puerto Rico,Maricao,18.1894011,-66.9132326,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Punta Santiago,Puerto Rico,Humacao,18.1663493,-65.7482172,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Puerto Rico,Santa Isabel,17.9960764,-66.3518353,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago y Lima,Puerto Rico,Naguabo,18.2046806,-65.705717,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago Iglesias,Puerto Rico,San Juan,18.3830048,-66.0993329,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Puerto Rico,Aguadilla,18.4907764,-67.0662913,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Santiago,Michigan,Arenac,44.1127962,-83.7005386,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Hermanos Santiago,Puerto Rico,Juana Díaz,18.0557961,-66.5060056,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Reparto Santiago,Puerto Rico,Naguabo,18.216069,-65.7357175,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
Residencial Prexedes Santiago,Puerto Rico,Cidra,18.1727359,-66.1587779,Santiago,Chile,🇨🇱,-33.4377756,-70.6504502,Americas
